"DISSEMINATION_ID","ORIGINAL_DISSEMINATION_ID","ACTION","EXECUTION_TIMESTAMP","CLEARED","INDICATION_OF_COLLATERALIZATION","INDICATION_OF_END_USER_EXCEPTION","INDICATION_OF_OTHER_PRICE_AFFECTING_TERM","BLOCK_TRADES_AND_LARGE_NOTIONAL_OFF-FACILITY_SWAPS","EXECUTION_VENUE","EFFECTIVE_DATE","END_DATE","DAY_COUNT_CONVENTION","SETTLEMENT_CURRENCY","ASSET_CLASS","SUB-ASSET_CLASS_FOR_OTHER_COMMODITY","TAXONOMY","PRICE_FORMING_CONTINUATION_DATA","UNDERLYING_ASSET_1","UNDERLYING_ASSET_2","PRICE_NOTATION_TYPE","PRICE_NOTATION","ADDITIONAL_PRICE_NOTATION_TYPE","ADDITIONAL_PRICE_NOTATION","NOTIONAL_CURRENCY_1","NOTIONAL_CURRENCY_2","ROUNDED_NOTIONAL_AMOUNT_1","ROUNDED_NOTIONAL_AMOUNT_2","PAYMENT_FREQUENCY_1","PAYMENT_FREQUENCY_2","RESET_FREQUENCY_1","RESET_FREQUENCY_2","EMBEDED_OPTION","OPTION_STRIKE_PRICE","OPTION_TYPE","OPTION_FAMILY","OPTION_CURRENCY","OPTION_PREMIUM","OPTION_LOCK_PERIOD","OPTION_EXPIRATION_DATE","PRICE_NOTATION2_TYPE","PRICE_NOTATION2","PRICE_NOTATION3_TYPE","PRICE_NOTATION3"
"86657951","86657905","CORRECT","2018-05-30T13:04:41","C","PC","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29.V1:2I65BZDJ8","","Price","97.08","","","USD","","5,000,000","","3M","","","","","","","","","","","","","","",""
"86658107","","NEW","2018-05-30T13:08:24","C","","N","N","Y","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","HY.30:2I65BRPO2","","Price","106.1825","","","USD","","42,000,000","","3M","","","","","","","","","","","","","","",""
"86659049","","NEW","2018-05-30T13:22:11","U","FC","N","N","N","OFF","2018-05-23","2059-11-17"," ACT/360","","CR","","Credit:Index:CMBX:CMBX","Trade","CMBX.NA.BBB-.10:137BERAJ6","","Percentage","3","","","USD","","670,000","","1M","","","","","","","","","","","","","","",""
"86659565","","NEW","2018-05-30T13:30:37","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","HY.30:2I65BRPO2","","Price","106.205","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86659599","","NEW","2018-05-30T13:31:18","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","HY.30:2I65BRPO2","","Price","106.2075","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86658106","","NEW","2018-05-30T13:08:21","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69.275","","","EUR","","6,000,000","","3M","","","","","","","","","","","","","","",""
"86658154","","NEW","2018-05-30T13:09:19","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:iTraxx:iTraxxEurope","Trade","EUROPE S29:2I666VCI4","","Basis points","69","","","EUR","","65,000,000","","3M","","","","","","","","","","","","","","",""
"86658251","","NEW","2018-05-30T13:10:32","U","FC","N","N","N","OFF","2018-05-23","2059-11-17"," ACT/360","","CR","","Credit:Index:CMBX:CMBX","Trade","CMBX.NA.BBB-.10:137BERAJ6","","Percentage","3","","","USD","","960,000","","1M","","","","","","","","","","","","","","",""
"86660461","","NEW","2018-05-25T16:30:17","U","PC","N","N","N","OFF","2015-09-21","2020-12-20"," ACT/360","","CR","","Credit:IndexTranche:iTraxx:StandardiTraxxEuropeTranche","Trade","iTraxx Europe series 24 Version:2I666VBE4","","Basis points","100","","","EUR","","13,000,000","","3M","","","","","","","","","","","","","","",""
"86660462","","NEW","2018-05-25T16:30:17","U","PC","N","N","N","OFF","2015-09-21","2020-12-20"," ACT/360","","CR","","Credit:IndexTranche:iTraxx:StandardiTraxxEuropeTranche","Trade","iTraxx Europe series 24 Version:2I666VBE4","","Basis points","100","","","EUR","","13,000,000","","3M","","","","","","","","","","","","","","",""
"86660995","","NEW","2018-05-30T13:45:58","C","","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29:2I65BZDJ8","","BasisPoints","97.12","","","USD","","10,000,000","","3M","","","","","","","","","","","","","","",""
"86661025","","NEW","2018-05-30T13:46:14","C","","N","N","N","ON","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXEmergingMarkets","Trade","CDX.EM.29:2I65BZDJ8","","BasisPoints","97.12","","","USD","","5,000,000","","3M","","","","","","","","","","","","","","",""
"86661083","86654530","CANCEL","2018-05-30T12:12:15","C","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","CDX NA.HY.30.1:2I65BRPO2","","Price","106.24","","","USD","","2,000,000","","3M","","","","","","","","","","","","","","",""
"86661084","86654530","CORRECT","2018-05-30T12:12:15","C","UC","N","N","N","OFF","2018-03-20","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","CDX NA.HY.30.1:2I65BRPO2","","Price","106.24","","","USD","","2,000,000","","3M","","","","","","","","","","","","","","",""
"86660048","","NEW","2018-05-30T13:35:28","C","","N","N","N","ON","2018-05-31","2023-06-20"," ACT/360","","CR","","Credit:Index:CDX:CDXHY","Trade","2I65BR:2I65BRPO2","","Price","106.237","","","USD","","25,000,000","","3M","","","","","","","","","","","","","","",""
